ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Age Stages,Purchased Bike
24398,Married,Male,"$130,000",1,Graduate Degree,Management,Yes,4,0-1 Miles,North America,41,Middle Aged,No
22088,Married,Female,"$130,000",1,Bachelors,Management,Yes,2,0-1 Miles,North America,45,Middle Aged,Yes
14443,Married,Male,"$130,000",1,Graduate Degree,Management,Yes,4,0-1 Miles,North America,40,Middle Aged,No
28269,Single,Female,"$130,000",1,Bachelors,Management,No,1,2-5 Miles,North America,45,Middle Aged,No
11270,Married,Male,"$130,000",2,Graduate Degree,Management,Yes,3,0-1 Miles,North America,42,Middle Aged,Yes
23027,Single,Male,"$130,000",1,Bachelors,Management,No,4,0-1 Miles,North America,44,Middle Aged,No
16867,Single,Female,"$130,000",1,Bachelors,Management,No,3,0-1 Miles,North America,45,Middle Aged,Yes
15412,Married,Male,"$130,000",2,Graduate Degree,Management,Yes,3,2-5 Miles,North America,69,Old,No
13176,Single,Male,"$130,000",0,Graduate Degree,Management,No,2,0-1 Miles,North America,38,Middle Aged,Yes
12205,Single,Female,"$130,000",2,Bachelors,Management,No,4,0-1 Miles,North America,67,Old,No
11269,Married,Male,"$130,000",2,Graduate Degree,Management,Yes,2,0-1 Miles,North America,41,Middle Aged,No
19280,Married,Male,"$120,000",2,Partial College,Manual,Yes,1,0-1 Miles,Europe,40,Middle Aged,Yes
14238,Married,Male,"$120,000",0,Partial High School,Professional,Yes,4,10+ Miles,Pacific,36,Middle Aged,Yes
22830,Married,Male,"$120,000",4,Partial College,Management,Yes,3,10+ Miles,Europe,56,Middle Aged,No
19057,Married,Female,"$120,000",3,Bachelors,Management,No,2,10+ Miles,Europe,52,Middle Aged,Yes
17522,Married,Male,"$120,000",4,Bachelors,Management,Yes,1,2-5 Miles,Pacific,47,Middle Aged,No
15926,Single,Female,"$120,000",3,High School,Professional,Yes,4,5-10 Miles,Europe,50,Middle Aged,Yes
28957,Single,Female,"$120,000",0,Partial High School,Professional,Yes,4,10+ Miles,Pacific,34,Young,Yes
26385,Single,Male,"$120,000",3,High School,Professional,No,4,5-10 Miles,Europe,50,Middle Aged,No
21560,Married,Male,"$120,000",0,Partial High School,Professional,Yes,4,10+ Miles,Pacific,32,Young,Yes
13089,Married,Female,"$120,000",1,Bachelors,Management,Yes,2,0-1 Miles,Pacific,46,Middle Aged,Yes
24397,Single,Male,"$120,000",2,Bachelors,Management,No,4,1-2 Miles,North America,40,Middle Aged,No
16917,Married,Male,"$120,000",1,Bachelors,Management,Yes,4,0-1 Miles,North America,38,Middle Aged,No
15194,Single,Male,"$120,000",2,Bachelors,Management,No,3,0-1 Miles,North America,39,Middle Aged,Yes
29237,Single,Female,"$120,000",4,Partial College,Professional,Yes,3,5-10 Miles,North America,43,Middle Aged,Yes
13314,Married,Male,"$120,000",1,High School,Professional,Yes,4,5-10 Miles,North America,46,Middle Aged,Yes
13313,Married,Female,"$120,000",1,High School,Professional,No,4,2-5 Miles,North America,45,Middle Aged,No
12056,Married,Male,"$120,000",2,Graduate Degree,Management,Yes,3,5-10 Miles,North America,64,Old,No
16651,Married,Female,"$120,000",2,Bachelors,Management,Yes,3,5-10 Miles,North America,62,Old,No
27304,Single,Female,"$110,000",2,Partial College,Professional,No,3,5-10 Miles,Europe,48,Middle Aged,No
18494,Married,Male,"$110,000",5,Bachelors,Management,Yes,4,2-5 Miles,Pacific,48,Middle Aged,Yes
21557,Single,Female,"$110,000",0,Partial College,Management,Yes,3,10+ Miles,Pacific,32,Young,Yes
25792,Single,Female,"$110,000",3,Bachelors,Management,Yes,4,10+ Miles,Europe,53,Middle Aged,No
24901,Single,Male,"$110,000",0,Partial College,Management,No,3,10+ Miles,Pacific,32,Young,Yes
22204,Married,Male,"$110,000",4,Bachelors,Management,Yes,3,2-5 Miles,Pacific,48,Middle Aged,No
21891,Married,Female,"$110,000",0,High School,Management,Yes,3,10+ Miles,Pacific,34,Young,Yes
15382,Married,Female,"$110,000",1,Bachelors,Management,Yes,2,1-2 Miles,North America,44,Middle Aged,No
25184,Single,Male,"$110,000",1,Partial College,Professional,Yes,4,5-10 Miles,North America,45,Middle Aged,Yes
13287,Single,Male,"$110,000",4,Bachelors,Management,Yes,4,5-10 Miles,North America,42,Middle Aged,Yes
13296,Married,Male,"$110,000",1,Bachelors,Management,Yes,3,5-10 Miles,North America,45,Middle Aged,No
29243,Single,Male,"$110,000",1,Bachelors,Management,Yes,1,5-10 Miles,North America,43,Middle Aged,No
29048,Single,Male,"$110,000",2,Bachelors,Management,No,3,0-1 Miles,North America,37,Middle Aged,Yes
26065,Single,Female,"$110,000",3,Bachelors,Management,No,4,1-2 Miles,North America,42,Middle Aged,No
22719,Single,Male,"$110,000",3,Bachelors,Management,Yes,4,2-5 Miles,North America,40,Middle Aged,Yes
15982,Married,Male,"$110,000",5,Partial College,Professional,Yes,4,2-5 Miles,North America,46,Middle Aged,No
18283,Single,Female,"$100,000",0,Bachelors,Professional,No,1,5-10 Miles,Pacific,40,Middle Aged,No
23627,Single,Female,"$100,000",3,Partial College,Management,No,4,5-10 Miles,Europe,56,Middle Aged,No
29117,Single,Male,"$100,000",1,Bachelors,Management,No,3,0-1 Miles,Pacific,48,Middle Aged,No
25058,Married,Male,"$100,000",1,Bachelors,Management,Yes,3,2-5 Miles,Pacific,47,Middle Aged,No
14233,Single,Male,"$100,000",0,High School,Management,Yes,3,10+ Miles,Pacific,35,Middle Aged,No
15214,Single,Female,"$100,000",0,Graduate Degree,Management,No,1,1-2 Miles,Pacific,39,Middle Aged,Yes
21568,Married,Female,"$100,000",0,High School,Management,Yes,4,10+ Miles,Pacific,34,Young,Yes
22931,Married,Male,"$100,000",5,Graduate Degree,Management,No,1,1-2 Miles,Pacific,78,Old,Yes
20598,Married,Male,"$100,000",3,Partial High School,Professional,Yes,0,10+ Miles,Europe,59,Middle Aged,Yes
14193,Single,Female,"$100,000",3,Partial College,Management,Yes,4,10+ Miles,Europe,56,Middle Aged,No
13133,Single,Male,"$100,000",5,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,47,Middle Aged,Yes
20625,Married,Male,"$100,000",0,High School,Management,Yes,3,10+ Miles,Pacific,35,Middle Aged,Yes
29120,Single,Female,"$100,000",1,Bachelors,Management,Yes,4,2-5 Miles,Pacific,48,Middle Aged,No
11896,Married,Male,"$100,000",1,Graduate Degree,Management,Yes,0,2-5 Miles,Pacific,36,Middle Aged,Yes
20228,Married,Male,"$100,000",0,Graduate Degree,Management,Yes,0,2-5 Miles,Pacific,40,Middle Aged,Yes
17324,Married,Female,"$100,000",4,Bachelors,Professional,Yes,1,10+ Miles,Pacific,46,Middle Aged,No
18153,Married,Female,"$100,000",2,Bachelors,Management,Yes,4,10+ Miles,Europe,59,Middle Aged,No
24305,Single,Male,"$100,000",1,Bachelors,Management,No,3,0-1 Miles,Pacific,46,Middle Aged,Yes
15940,Married,Male,"$100,000",4,Partial College,Professional,Yes,4,0-1 Miles,North America,40,Middle Aged,No
27638,Single,Male,"$100,000",1,Partial College,Professional,No,3,1-2 Miles,North America,44,Middle Aged,No
14469,Married,Female,"$100,000",3,Partial College,Professional,Yes,4,1-2 Miles,North America,45,Middle Aged,No
11259,Married,Female,"$100,000",4,Partial College,Professional,Yes,4,2-5 Miles,North America,41,Middle Aged,Yes
14507,Married,Male,"$100,000",2,Graduate Degree,Management,Yes,3,1-2 Miles,North America,65,Old,No
27637,Single,Female,"$100,000",1,Partial College,Professional,No,3,1-2 Miles,North America,44,Middle Aged,No
18517,Married,Male,"$100,000",3,Bachelors,Management,Yes,4,0-1 Miles,North America,41,Middle Aged,No
18952,Married,Female,"$100,000",4,Bachelors,Management,Yes,4,0-1 Miles,North America,40,Middle Aged,No
13415,Single,Male,"$100,000",1,Graduate Degree,Management,Yes,3,2-5 Miles,North America,73,Old,Yes
23491,Single,Male,"$100,000",0,Partial College,Professional,No,4,1-2 Miles,North America,45,Middle Aged,No
19664,Single,Male,"$100,000",3,Bachelors,Management,No,3,1-2 Miles,North America,38,Middle Aged,No
12697,Single,Female,"$90,000",0,Bachelors,Professional,No,4,10+ Miles,Pacific,36,Middle Aged,No
12291,Single,Male,"$90,000",5,Partial College,Professional,No,2,2-5 Miles,Europe,62,Old,Yes
24871,Single,Female,"$90,000",4,High School,Management,No,3,5-10 Miles,Europe,56,Middle Aged,No
17197,Single,Female,"$90,000",5,Partial College,Professional,Yes,2,10+ Miles,Europe,62,Old,No
14192,Married,Male,"$90,000",4,High School,Management,Yes,3,5-10 Miles,Europe,56,Middle Aged,Yes
26757,Single,Male,"$90,000",1,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47,Middle Aged,Yes
15799,Married,Female,"$90,000",1,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47,Middle Aged,Yes
26944,Single,Male,"$90,000",2,High School,Manual,Yes,0,0-1 Miles,Europe,36,Middle Aged,Yes
24842,Single,Female,"$90,000",3,High School,Professional,No,1,2-5 Miles,Europe,51,Middle Aged,No
11415,Single,Male,"$90,000",5,Partial College,Professional,No,2,10+ Miles,Europe,62,Old,No
24611,Single,Male,"$90,000",0,Bachelors,Professional,No,4,10+ Miles,Pacific,35,Middle Aged,Yes
26654,Married,Female,"$90,000",1,Graduate Degree,Management,Yes,0,0-1 Miles,Pacific,37,Middle Aged,Yes
14189,Married,Female,"$90,000",4,High School,Professional,No,2,2-5 Miles,Europe,54,Middle Aged,Yes
11000,Married,Male,"$90,000",2,Bachelors,Professional,Yes,0,1-2 Miles,Pacific,40,Middle Aged,Yes
22930,Married,Male,"$90,000",4,Bachelors,Professional,Yes,0,1-2 Miles,Pacific,38,Middle Aged,Yes
12663,Married,Female,"$90,000",5,Partial High School,Skilled Manual,Yes,2,10+ Miles,Europe,59,Middle Aged,No
25241,Married,Male,"$90,000",2,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,47,Middle Aged,No
12332,Married,Male,"$90,000",4,High School,Management,Yes,3,5-10 Miles,Europe,58,Middle Aged,Yes
27582,Single,Female,"$90,000",2,Bachelors,Professional,No,0,0-1 Miles,Pacific,36,Middle Aged,Yes
17048,Single,Female,"$90,000",1,Graduate Degree,Management,Yes,0,0-1 Miles,Pacific,36,Middle Aged,Yes
21561,Single,Male,"$90,000",0,Bachelors,Professional,No,3,10+ Miles,Pacific,34,Young,Yes
27585,Married,Female,"$90,000",2,Bachelors,Professional,No,0,0-1 Miles,Pacific,36,Middle Aged,Yes
18294,Married,Female,"$90,000",1,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,46,Middle Aged,No
26415,Married,Female,"$90,000",4,Partial High School,Skilled Manual,Yes,4,10+ Miles,Europe,58,Middle Aged,No
16871,Married,Female,"$90,000",2,High School,Professional,Yes,1,10+ Miles,North America,51,Middle Aged,Yes
20343,Married,Female,"$90,000",4,Partial College,Professional,Yes,1,1-2 Miles,North America,45,Middle Aged,No
23461,Married,Female,"$90,000",5,Partial College,Professional,Yes,3,2-5 Miles,North America,40,Middle Aged,No
23479,Single,Male,"$90,000",0,Partial College,Professional,No,2,0-1 Miles,North America,43,Middle Aged,Yes
19661,Single,Male,"$90,000",4,Bachelors,Management,Yes,1,1-2 Miles,North America,38,Middle Aged,Yes
17260,Married,Male,"$90,000",5,Partial College,Professional,Yes,3,0-1 Miles,North America,41,Middle Aged,No
24416,Married,Male,"$90,000",4,High School,Professional,Yes,2,1-2 Miles,North America,45,Middle Aged,No
14432,Single,Male,"$90,000",4,Graduate Degree,Management,Yes,1,5-10 Miles,North America,73,Old,No
22050,Single,Male,"$90,000",4,Bachelors,Management,Yes,1,1-2 Miles,North America,38,Middle Aged,Yes
11090,Single,Male,"$90,000",2,Partial College,Professional,Yes,1,2-5 Miles,North America,48,Middle Aged,Yes
13343,Married,Female,"$90,000",5,Bachelors,Management,Yes,2,1-2 Miles,North America,63,Old,Yes
11303,Single,Female,"$90,000",4,High School,Professional,No,3,1-2 Miles,North America,45,Middle Aged,Yes
21940,Married,Male,"$90,000",5,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,47,Middle Aged,Yes
16007,Married,Female,"$90,000",5,Bachelors,Management,Yes,2,1-2 Miles,North America,66,Old,Yes
22864,Married,Male,"$90,000",2,Partial College,Professional,No,0,5-10 Miles,North America,49,Middle Aged,Yes
14177,Married,Male,"$80,000",5,Partial College,Professional,No,2,2-5 Miles,Europe,60,Middle Aged,No
21564,Single,Female,"$80,000",0,Bachelors,Professional,Yes,4,10+ Miles,Pacific,35,Middle Aged,No
26412,Married,Female,"$80,000",5,High School,Management,No,3,5-10 Miles,Europe,56,Middle Aged,No
18484,Single,Male,"$80,000",2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50,Middle Aged,Yes
20619,Single,Male,"$80,000",0,Bachelors,Professional,No,4,10+ Miles,Pacific,35,Middle Aged,No
28906,Married,Male,"$80,000",4,High School,Professional,Yes,2,10+ Miles,Europe,54,Middle Aged,No
27969,Married,Male,"$80,000",0,Bachelors,Professional,Yes,2,10+ Miles,Pacific,29,Young,Yes
15752,Married,Male,"$80,000",2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50,Middle Aged,Yes
19608,Married,Male,"$80,000",5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,40,Middle Aged,No
19914,Married,Male,"$80,000",5,Bachelors,Management,Yes,2,2-5 Miles,Europe,62,Old,No
12344,Single,Female,"$80,000",0,Bachelors,Professional,No,3,10+ Miles,Pacific,31,Young,No
29301,Married,Male,"$80,000",5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,40,Middle Aged,No
16614,Married,Female,"$80,000",0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,32,Young,No
23426,Single,Male,"$80,000",5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,40,Middle Aged,No
18144,Married,Female,"$80,000",5,Bachelors,Management,Yes,2,2-5 Miles,Europe,61,Old,No
17504,Single,Female,"$80,000",2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Middle Aged,Yes
18151,Single,Male,"$80,000",5,Partial College,Professional,No,2,10+ Miles,Europe,59,Middle Aged,No
15682,Single,Female,"$80,000",5,Bachelors,Management,Yes,2,10+ Miles,Europe,62,Old,No
11453,Single,Male,"$80,000",0,Bachelors,Professional,No,3,10+ Miles,Pacific,33,Young,Yes
14669,Married,Female,"$80,000",4,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,36,Middle Aged,No
27951,Single,Male,"$80,000",4,Partial College,Professional,No,2,2-5 Miles,Europe,54,Middle Aged,Yes
28915,Single,Male,"$80,000",5,High School,Management,Yes,3,10+ Miles,Europe,57,Middle Aged,No
28207,Married,Male,"$80,000",4,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,36,Middle Aged,Yes
18740,Married,Male,"$80,000",5,Bachelors,Professional,No,1,0-1 Miles,Pacific,47,Middle Aged,Yes
24898,Single,Female,"$80,000",0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,32,Young,No
24369,Married,Male,"$80,000",5,Graduate Degree,Management,No,2,0-1 Miles,Pacific,39,Middle Aged,No
27941,Married,Female,"$80,000",4,Partial College,Professional,Yes,2,2-5 Miles,Europe,53,Middle Aged,No
17238,Single,Male,"$80,000",0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,32,Young,No
17230,Married,Male,"$80,000",0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,30,Young,No
22918,Single,Male,"$80,000",5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,50,Middle Aged,No
16179,Single,Female,"$80,000",5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,38,Middle Aged,No
13586,Married,Male,"$80,000",4,Partial College,Professional,Yes,2,10+ Miles,Europe,53,Middle Aged,No
13122,Married,Female,"$80,000",0,Bachelors,Professional,Yes,1,1-2 Miles,Pacific,41,Middle Aged,Yes
13961,Married,Female,"$80,000",5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,40,Middle Aged,No
19784,Married,Female,"$80,000",2,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,50,Middle Aged,Yes
24093,Single,Female,"$80,000",0,Graduate Degree,Skilled Manual,No,0,0-1 Miles,Europe,40,Middle Aged,Yes
26651,Single,Male,"$80,000",4,Graduate Degree,Management,Yes,0,0-1 Miles,Pacific,36,Middle Aged,Yes
13585,Married,Female,"$80,000",4,Partial College,Professional,No,1,2-5 Miles,Europe,53,Middle Aged,Yes
21554,Single,Female,"$80,000",0,Bachelors,Professional,No,3,10+ Miles,Pacific,33,Young,No
18253,Married,Female,"$80,000",5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,40,Middle Aged,No
26012,Married,Male,"$80,000",1,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,48,Middle Aged,Yes
24357,Married,Male,"$80,000",3,Bachelors,Professional,Yes,1,2-5 Miles,North America,48,Middle Aged,Yes
12207,Single,Male,"$80,000",4,Bachelors,Management,Yes,0,5-10 Miles,North America,66,Old,Yes
23586,Married,Female,"$80,000",0,Bachelors,Management,Yes,1,1-2 Miles,North America,34,Young,Yes
15740,Married,Male,"$80,000",5,Bachelors,Management,Yes,2,1-2 Miles,North America,64,Old,No
13283,Married,Male,"$80,000",3,Partial College,Professional,No,2,0-1 Miles,North America,49,Middle Aged,Yes
17471,Single,Female,"$80,000",4,Graduate Degree,Management,Yes,2,5-10 Miles,North America,67,Old,No
13907,Single,Female,"$80,000",3,Bachelors,Skilled Manual,Yes,1,0-1 Miles,North America,41,Middle Aged,Yes
11262,Married,Female,"$80,000",4,Bachelors,Management,Yes,0,0-1 Miles,North America,42,Middle Aged,No
18674,Single,Female,"$80,000",4,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,48,Middle Aged,No
25293,Married,Male,"$80,000",4,Bachelors,Management,Yes,0,1-2 Miles,North America,42,Middle Aged,No
21266,Single,Female,"$80,000",0,Bachelors,Management,Yes,1,1-2 Miles,North America,34,Young,Yes
13749,Married,Male,"$80,000",4,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,47,Middle Aged,No
18391,Single,Female,"$80,000",5,Partial College,Professional,Yes,2,5-10 Miles,North America,44,Middle Aged,No
27660,Married,Male,"$80,000",4,Graduate Degree,Management,Yes,2,5-10 Miles,North America,70,Old,No
29231,Single,Male,"$80,000",4,Partial College,Professional,No,2,0-1 Miles,North America,43,Middle Aged,No
22994,Married,Female,"$80,000",0,Bachelors,Management,Yes,1,1-2 Miles,North America,34,Young,Yes
16245,Single,Female,"$80,000",4,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,47,Middle Aged,No
29255,Single,Male,"$80,000",3,Partial College,Professional,No,1,1-2 Miles,North America,51,Middle Aged,Yes
13754,Single,Female,"$80,000",4,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,48,Middle Aged,No
28580,Married,Female,"$80,000",0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,40,Middle Aged,Yes
18145,Married,Male,"$80,000",5,Bachelors,Management,No,2,2-5 Miles,Europe,62,Old,No
16377,Single,Female,"$80,000",4,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,47,Middle Aged,No
28068,Single,Female,"$80,000",3,Graduate Degree,Professional,No,0,0-1 Miles,North America,36,Middle Aged,Yes
18390,Married,Male,"$80,000",5,Partial College,Professional,Yes,2,0-1 Miles,North America,44,Middle Aged,No
27198,Single,Female,"$80,000",0,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,40,Middle Aged,No
26678,Single,Female,"$80,000",2,Partial High School,Skilled Manual,Yes,2,5-10 Miles,North America,49,Middle Aged,No
21714,Single,Female,"$80,000",5,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,47,Middle Aged,No
14657,Married,Male,"$80,000",1,Partial College,Skilled Manual,No,1,0-1 Miles,North America,47,Middle Aged,Yes
14602,Married,Female,"$80,000",3,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,36,Middle Aged,Yes
15372,Married,Male,"$80,000",3,Partial College,Professional,No,2,2-5 Miles,North America,50,Middle Aged,Yes
19660,Married,Male,"$80,000",4,Bachelors,Management,Yes,0,0-1 Miles,North America,43,Middle Aged,No
28228,Single,Female,"$80,000",2,Partial High School,Skilled Manual,No,2,1-2 Miles,North America,50,Middle Aged,No
13911,Single,Female,"$80,000",3,Bachelors,Skilled Manual,Yes,2,2-5 Miles,North America,41,Middle Aged,Yes
19143,Single,Female,"$80,000",3,Bachelors,Skilled Manual,Yes,2,2-5 Miles,North America,41,Middle Aged,Yes
23882,Single,Female,"$80,000",3,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,37,Middle Aged,Yes
18423,Single,Male,"$80,000",2,Partial High School,Skilled Manual,No,2,1-2 Miles,North America,52,Middle Aged,No
18783,Single,Male,"$80,000",0,Bachelors,Management,No,1,0-1 Miles,North America,38,Middle Aged,Yes
22046,Single,Female,"$80,000",0,Bachelors,Management,No,1,0-1 Miles,North America,38,Middle Aged,Yes
28066,Married,Male,"$80,000",2,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,37,Middle Aged,Yes
11275,Married,Female,"$80,000",4,Graduate Degree,Management,Yes,2,0-1 Miles,North America,72,Old,Yes
19731,Married,Male,"$80,000",4,Graduate Degree,Management,Yes,2,5-10 Miles,North America,68,Old,No
28858,Single,Male,"$80,000",3,Bachelors,Skilled Manual,Yes,0,2-5 Miles,North America,40,Middle Aged,No
13337,Married,Female,"$80,000",5,Bachelors,Management,Yes,2,5-10 Miles,North America,64,Old,No
21713,Single,Male,"$80,000",5,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,47,Middle Aged,No
23455,Single,Male,"$80,000",2,Partial High School,Skilled Manual,No,2,1-2 Miles,North America,50,Middle Aged,No
19012,Married,Male,"$80,000",3,Bachelors,Management,Yes,1,1-2 Miles,North America,56,Middle Aged,No
19741,Single,Female,"$80,000",4,Graduate Degree,Management,Yes,2,5-10 Miles,North America,65,Old,No
17450,Married,Male,"$80,000",5,Partial College,Professional,Yes,3,5-10 Miles,North America,45,Middle Aged,No
18594,Single,Female,"$80,000",3,Bachelors,Skilled Manual,Yes,3,10+ Miles,North America,40,Middle Aged,Yes
13466,Married,Male,"$80,000",5,Partial College,Professional,Yes,3,1-2 Miles,North America,46,Middle Aged,No
24381,Single,Male,"$70,000",0,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,41,Middle Aged,Yes
18299,Married,Male,"$70,000",5,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,44,Middle Aged,No
17319,Single,Female,"$70,000",0,Bachelors,Professional,No,1,5-10 Miles,Pacific,42,Middle Aged,No
18491,Single,Female,"$70,000",2,High School,Professional,Yes,2,5-10 Miles,Pacific,49,Middle Aged,Yes
20430,Married,Male,"$70,000",2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Middle Aged,Yes
14682,Single,Female,"$70,000",0,Bachelors,Professional,No,1,5-10 Miles,Pacific,38,Middle Aged,No
14058,Single,Male,"$70,000",0,Bachelors,Professional,No,1,5-10 Miles,Pacific,41,Middle Aged,Yes
20606,Married,Female,"$70,000",0,Bachelors,Professional,Yes,4,10+ Miles,Pacific,32,Young,Yes
26032,Married,Female,"$70,000",5,Bachelors,Professional,Yes,4,10+ Miles,Pacific,41,Middle Aged,No
11451,Single,Male,"$70,000",0,Bachelors,Professional,No,4,10+ Miles,Pacific,31,Young,Yes
18711,Single,Female,"$70,000",5,Bachelors,Professional,Yes,4,10+ Miles,Pacific,39,Middle Aged,No
22006,Married,Male,"$70,000",5,Partial College,Skilled Manual,Yes,3,5-10 Miles,Pacific,46,Middle Aged,No
23432,Single,Male,"$70,000",0,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,37,Middle Aged,Yes
23419,Single,Female,"$70,000",5,Bachelors,Professional,Yes,3,10+ Miles,Pacific,39,Middle Aged,No
19626,Married,Male,"$70,000",5,Partial College,Skilled Manual,Yes,3,5-10 Miles,Pacific,45,Middle Aged,No
22005,Married,Female,"$70,000",5,Partial College,Skilled Manual,No,3,5-10 Miles,Pacific,46,Middle Aged,No
